tablename,indexname,indexdef
lists,idx_lists_created_by,CREATE INDEX idx_lists_created_by ON public.lists USING btree (created_by)
lists,idx_lists_event_id,CREATE INDEX idx_lists_event_id ON public.lists USING btree (event_id)
lists,idx_lists_random_assignment_enabled,CREATE INDEX idx_lists_random_assignment_enabled ON public.lists USING btree (random_assignment_enabled) WHERE (random_assignment_enabled = true)
lists,idx_lists_random_modes,"CREATE INDEX idx_lists_random_modes ON public.lists USING btree (event_id, random_assignment_enabled, random_receiver_assignment_enabled)"
lists,idx_lists_random_receiver_assignment_enabled,CREATE INDEX idx_lists_random_receiver_assignment_enabled ON public.lists USING btree (random_receiver_assignment_enabled) WHERE (random_receiver_assignment_enabled = true)
lists,lists_pkey,CREATE UNIQUE INDEX lists_pkey ON public.lists USING btree (id)
notification_queue,idx_notification_queue_sent,"CREATE INDEX idx_notification_queue_sent ON public.notification_queue USING btree (sent, created_at)"
notification_queue,idx_notification_queue_user_id,CREATE INDEX idx_notification_queue_user_id ON public.notification_queue USING btree (user_id)
notification_queue,notification_queue_pkey,CREATE UNIQUE INDEX notification_queue_pkey ON public.notification_queue USING btree (id)
orphaned_lists,idx_orphaned_lists_delete_at,CREATE INDEX idx_orphaned_lists_delete_at ON public.orphaned_lists USING btree (delete_at)
orphaned_lists,idx_orphaned_lists_list_id,CREATE INDEX idx_orphaned_lists_list_id ON public.orphaned_lists USING btree (list_id)
orphaned_lists,orphaned_lists_list_id_excluded_user_id_key,"CREATE UNIQUE INDEX orphaned_lists_list_id_excluded_user_id_key ON public.orphaned_lists USING btree (list_id, excluded_user_id)"
orphaned_lists,orphaned_lists_pkey,CREATE UNIQUE INDEX orphaned_lists_pkey ON public.orphaned_lists USING btree (id)
profiles,idx_profiles_currency,CREATE INDEX idx_profiles_currency ON public.profiles USING btree (currency)
profiles,idx_profiles_id_display_name,CREATE INDEX idx_profiles_id_display_name ON public.profiles USING btree (id) INCLUDE (display_name)
profiles,idx_profiles_last_support_screen,CREATE INDEX idx_profiles_last_support_screen ON public.profiles USING btree (last_support_screen_shown)
profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
push_tokens,idx_push_tokens_user_id,CREATE INDEX idx_push_tokens_user_id ON public.push_tokens USING btree (user_id)
push_tokens,push_tokens_pkey,CREATE UNIQUE INDEX push_tokens_pkey ON public.push_tokens USING btree (id)
push_tokens,push_tokens_token_key,CREATE UNIQUE INDEX push_tokens_token_key ON public.push_tokens USING btree (token)
rate_limit_tracking,idx_rate_limit_tracking_window,CREATE INDEX idx_rate_limit_tracking_window ON public.rate_limit_tracking USING btree (window_start)
rate_limit_tracking,rate_limit_tracking_pkey,"CREATE UNIQUE INDEX rate_limit_tracking_pkey ON public.rate_limit_tracking USING btree (user_id, action, window_start)"
security_audit_log,idx_security_audit_log_action_created,"CREATE INDEX idx_security_audit_log_action_created ON public.security_audit_log USING btree (action, created_at DESC)"
security_audit_log,idx_security_audit_log_created,CREATE INDEX idx_security_audit_log_created ON public.security_audit_log USING btree (created_at DESC)
security_audit_log,idx_security_audit_log_user_created,"CREATE INDEX idx_security_audit_log_user_created ON public.security_audit_log USING btree (user_id, created_at DESC)"
security_audit_log,security_audit_log_pkey,CREATE UNIQUE INDEX security_audit_log_pkey ON public.security_audit_log USING btree (id)
sent_reminders,idx_sent_reminders_claim_event,"CREATE INDEX idx_sent_reminders_claim_event ON public.sent_reminders USING btree (claim_id, event_id)"
sent_reminders,idx_sent_reminders_event_id,CREATE INDEX idx_sent_reminders_event_id ON public.sent_reminders USING btree (event_id)
sent_reminders,idx_sent_reminders_user_id,CREATE INDEX idx_sent_reminders_user_id ON public.sent_reminders USING btree (user_id)
sent_reminders,sent_reminders_claim_id_event_id_key,"CREATE UNIQUE INDEX sent_reminders_claim_id_event_id_key ON public.sent_reminders USING btree (claim_id, event_id)"
sent_reminders,sent_reminders_pkey,CREATE UNIQUE INDEX sent_reminders_pkey ON public.sent_reminders USING btree (id)
user_plans,user_plans_pkey,CREATE UNIQUE INDEX user_plans_pkey ON public.user_plans USING btree (user_id)
