table_name,constraint_name,constraint_type,definition
sent_reminders,fk_sent_reminders_claim_id,FOREIGN KEY,FOREIGN KEY (claim_id) REFERENCES claims(id) ON DELETE CASCADE
sent_reminders,fk_sent_reminders_event_id,FOREIGN KEY,FOREIGN KEY (event_id) REFERENCES events(id) ON DELETE CASCADE
sent_reminders,fk_sent_reminders_user_id,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
sent_reminders,sent_reminders_claim_id_fkey,FOREIGN KEY,FOREIGN KEY (claim_id) REFERENCES claims(id) ON DELETE CASCADE
sent_reminders,sent_reminders_event_id_fkey,FOREIGN KEY,FOREIGN KEY (event_id) REFERENCES events(id) ON DELETE CASCADE
sent_reminders,sent_reminders_user_id_fkey,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
sent_reminders,sent_reminders_pkey,PRIMARY KEY,PRIMARY KEY (id)
sent_reminders,sent_reminders_claim_id_event_id_key,UNIQUE,"UNIQUE (claim_id, event_id)"
user_plans,fk_user_plans_user_id,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
user_plans,user_plans_user_id_fkey,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
user_plans,user_plans_pkey,PRIMARY KEY,PRIMARY KEY (user_id)
