table_name,column_name,data_type,column_default,is_nullable,character_maximum_length
rate_limit_tracking,request_count,integer,1,NO,null
security_audit_log,id,uuid,gen_random_uuid(),NO,null
security_audit_log,user_id,uuid,null,YES,null
security_audit_log,action,text,null,NO,null
security_audit_log,resource_type,text,null,YES,null
security_audit_log,resource_id,uuid,null,YES,null
security_audit_log,ip_address,inet,null,YES,null
security_audit_log,user_agent,text,null,YES,null
security_audit_log,success,boolean,null,NO,null
security_audit_log,error_message,text,null,YES,null
security_audit_log,metadata,jsonb,null,YES,null
security_audit_log,created_at,timestamp with time zone,now(),NO,null
sent_reminders,id,uuid,gen_random_uuid(),NO,null
sent_reminders,user_id,uuid,null,NO,null
sent_reminders,claim_id,uuid,null,NO,null
sent_reminders,event_id,uuid,null,NO,null
sent_reminders,sent_at,timestamp with time zone,now(),YES,null
user_plans,user_id,uuid,null,NO,null
user_plans,pro_until,timestamp with time zone,null,YES,null
user_plans,created_at,timestamp with time zone,now(),NO,null
user_plans,updated_at,timestamp with time zone,now(),NO,null
user_plans,note,text,null,YES,null
